user_id,cluster,x,y
U13740,0,-0.02617635577917099,-0.01583755388855934
U91836,2,0.012263000011444092,-0.01738855242729187
U73700,4,-0.039462435990571976,0.014332346618175507
U34670,1,-0.006138901226222515,0.008744865655899048
U8125,2,-0.002451992593705654,-0.0685337707400322
U19739,2,-0.003806615248322487,0.017940379679203033
U8355,1,0.012979748658835888,0.028785746544599533
U46596,2,-0.01967122033238411,0.03278206288814545
U79199,2,0.009095064364373684,0.003724105656147003
U53231,1,-0.01747903972864151,-0.003441326320171356
U89744,2,0.0069961571134626865,0.006015542894601822
U10045,4,-0.04454005882143974,-0.01486237533390522
U92486,2,0.020569363608956337,0.017026890069246292
U29155,0,0.0009414651431143284,-0.016238871961832047
U63162,0,-0.004765217192471027,-0.019625097513198853
U17841,2,0.010161022655665874,0.010052043944597244
U8312,1,0.02224544808268547,0.02774164080619812
U11306,0,-0.03896587714552879,-0.04697208106517792
U38627,1,0.030737942084670067,0.00045198947191238403
U47654,2,-0.013504227623343468,0.011107813566923141
U70879,2,-0.017022104933857918,0.023051582276821136
U80798,1,-0.003522987477481365,0.0027326159179210663
U19722,4,-0.0324290432035923,-0.004391048103570938
U9306,3,0.04762038215994835,0.0026317350566387177
U67119,4,-0.05833461135625839,0.007540963590145111
U91678,1,-0.004139321856200695,0.04016885906457901
U12328,2,0.013953069224953651,0.012338105589151382
U44808,4,-0.04836656153202057,0.016474124044179916
U36009,4,-0.04520712047815323,0.020194552838802338
U85394,2,-0.018811481073498726,-0.008028091862797737
U6744,0,0.023369591683149338,-0.04259780794382095
U81585,2,-0.006112160161137581,0.004543565213680267
U83994,4,-0.058855146169662476,0.0024073682725429535
U78244,4,-0.0698896273970604,0.02360701560974121
U50695,3,0.043014608323574066,0.0026949606835842133
U49572,0,0.026368465274572372,-0.019662994891405106
U80709,0,0.005665477365255356,-0.03189598768949509
U39703,1,-0.02958212047815323,0.014961466193199158
U27024,2,0.006538861896842718,0.005309503525495529
U84248,3,0.06597194075584412,-0.039370954036712646
U78954,0,-0.01772703416645527,-0.010150276124477386
U40466,2,0.007863925769925117,0.007471010088920593
U15141,2,0.026064828038215637,-0.04605910927057266
U16402,0,0.04564929008483887,-0.10599561035633087
U9312,2,-0.02699342742562294,0.006038974970579147
U1700,4,-0.040876809507608414,-0.021291647106409073
U53159,2,-0.030416924506425858,0.022725533694028854
U40937,2,0.033952418714761734,0.031963929533958435
U38865,2,0.0053602964617311954,-0.01338072307407856
U78765,2,0.01882421225309372,0.016789615154266357
U700,1,0.003597923554480076,0.017502587288618088
U7932,2,0.016381874680519104,-0.018764272332191467
U2579,3,0.056454453617334366,0.009006787091493607
U45798,0,0.0029932227917015553,-0.04581495374441147
U92183,2,-0.023922773078083992,-0.015165073797106743
U73329,2,0.010224670171737671,-0.01317519135773182
U61875,3,0.03795669972896576,0.024070534855127335
U39029,0,0.0006031622178852558,-0.04100354388356209
U39643,4,-0.03839460015296936,0.0015548355877399445
U50562,2,-0.0011363271623849869,0.00904833897948265
U53276,2,-0.005876066163182259,0.010381583124399185
U54128,2,-0.001530027948319912,-0.021446427330374718
U47477,0,-0.011701051145792007,-0.06788448989391327
U37844,4,-0.09677475690841675,-0.023260122165083885
U6518,3,0.039131712168455124,0.015483774244785309
U39868,2,0.00282831909134984,-0.02122368849813938
U23485,2,0.004850080236792564,-0.01666976325213909
U61371,2,-0.023072389885783195,-0.0035377517342567444
U63808,4,-0.03931702673435211,-0.010546745732426643
U2935,0,-0.0017524966970086098,-0.018099438399076462
U15363,2,-0.017177391797304153,-0.018358983099460602
U5627,4,-0.04143845662474632,-0.019649703055620193
U7471,0,0.0152971763163805,-0.08373900502920151
U67565,2,0.029571615159511566,-0.012934749945998192
U1376,1,0.018574561923742294,0.0068244412541389465
U11533,2,-0.020986951887607574,0.0026413649320602417
U22930,2,-0.015583008527755737,-0.003046862781047821
U86017,2,0.01602999120950699,0.024876493960618973
U3616,4,-0.048828158527612686,0.019436459988355637
U47892,2,0.00102586904540658,-0.006493959575891495
U66486,4,-0.05390622466802597,0.042275570333004
U91389,0,-0.0055504972115159035,-0.018046677112579346
U37127,2,-0.014755230396986008,-0.015070071443915367
U24775,2,-0.012170372530817986,-0.017346618697047234
U39222,4,-0.08521630614995956,-0.050399329513311386
U5286,0,0.004910781979560852,-0.021397273987531662
U69950,2,-0.019544921815395355,-0.005681334063410759
U92093,0,-0.03573691099882126,-0.03802212327718735
U52005,4,-0.14060962200164795,-0.026029273867607117
U27804,4,-0.03070075809955597,-0.003964554518461227
U52914,0,0.019348032772541046,-0.012432506307959557
U60663,3,0.049181967973709106,0.020909592509269714
U12957,4,-0.04557204246520996,-0.015887679532170296
U85027,4,-0.07850302755832672,0.013467397540807724
U10585,0,-0.014023415744304657,-0.021118778735399246
U47761,2,-0.005617402493953705,0.014096323400735855
U13227,2,0.03040928952395916,-0.00669056735932827
U70910,2,0.029414933174848557,-0.016470646485686302
U53319,3,0.04966827854514122,-0.01982119306921959
U84084,2,-0.0252462700009346,0.04445008933544159
U29279,2,-0.01633235067129135,-0.0005096457898616791
U39670,2,0.026377640664577484,-0.0007887817919254303
